1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
2 2 2
2 2 1
2 2 4
2 2 4
2 2 1
2 2 3
2 2 3
2 2 3
2 2 2
2 2 2
2 2 1
2 2 4
2 2 5
2 2 2
2 2 5
4 4 12
4 4 21
4 4 13
4 4 11
4 4 18
4 4 12
4 4 10
4 4 14
4 4 4
4 4 41
4 4 10
4 4 30
4 4 10
4 4 28
4 4 42
8 8 237
8 8 297
8 8 193
8 8 128
8 8 257
8 8 159
8 8 100
8 8 162
8 8 113
8 8 120
8 8 70
8 8 66
8 8 180
8 8 106
8 8 238
16 16 740
16 16 710
16 16 688
16 16 848
16 16 897
16 16 1659
16 16 819
16 16 555
16 16 1039
16 16 924
16 16 870
16 16 1117
16 16 480
16 16 1180
16 16 719
32 32 5099
32 32 4860
32 32 4325
32 32 3602
32 32 2070
32 32 2100
32 32 6758
32 32 4260
32 32 4587
32 32 4126
32 32 4182
32 32 4276
32 32 4551
32 32 4060
32 32 4904
64 64 14274
64 64 14066
64 64 25546
64 64 14993
64 64 15263
64 64 25247
64 64 20937
64 64 23169
64 64 13501
64 64 27927
64 64 20722
64 64 21324
64 64 21369
64 64 28020
64 64 13149
128 128 74013
128 128 84006
128 128 106414
128 128 70222
128 128 83684
128 128 76628
128 128 81863
128 128 65030
128 128 79675
128 128 84782
128 128 84560
128 128 92382
128 128 89691
128 128 71333
128 128 121431
256 256 334012
256 256 366047
256 256 304938
256 256 489100
256 256 381588
256 256 413434
256 256 495918
256 256 366528
256 256 338351
256 256 404748
256 256 421402
256 256 467617
256 256 382312
256 256 403999
256 256 351883
