1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
2 2 2
2 2 1
2 2 3
2 2 1
2 2 2
2 2 1
2 2 4
2 2 1
2 2 2
2 2 1
2 2 2
2 2 4
2 2 4
2 2 4
2 2 1
4 4 8
4 4 112
4 4 108
4 4 204
4 4 243
4 4 184
4 4 215
4 4 76
4 4 31
4 4 65
4 4 202
4 4 216
4 4 183
4 4 183
4 4 176
8 8 6163844
8 8 15219688
8 8 6172970
8 8 3948526
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
2 2 2
2 2 4
2 2 2
2 2 1
2 2 3
2 2 4
2 2 4
2 2 3
2 2 2
2 2 2
2 2 2
2 2 2
2 2 1
2 2 1
2 2 3
4 4 151
4 4 58
4 4 45
4 4 151
4 4 241
4 4 214
4 4 188
4 4 30
4 4 201
4 4 12
4 4 174
4 4 182
4 4 72
4 4 132
4 4 112
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
1 1 1
2 2 2
2 2 1
2 2 4
2 2 2
2 2 3
2 2 4
2 2 2
2 2 2
2 2 4
2 2 1
2 2 3
2 2 4
2 2 1
2 2 3
2 2 2
4 4 199
4 4 136
4 4 201
4 4 164
4 4 67
4 4 225
4 4 120
4 4 39
4 4 181
4 4 18
4 4 171
4 4 167
4 4 146
4 4 222
4 4 147
8 8 7771397
8 8 13098828
8 8 11377993
8 8 13199406
8 8 743051
