1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
1 1 1.1 1
2 2 1.1 5
2 2 1.1 1
2 2 1.1 1
2 2 1.1 17
2 2 1.1 25
2 2 1.1 1
2 2 1.1 5
2 2 1.1 1
2 2 1.1 5
2 2 1.1 1
2 2 1.1 25
2 2 1.1 1
2 2 1.1 9
2 2 1.1 17
2 2 1.1 1
4 4 1.1 9
4 4 1.1 17
4 4 1.1 41
4 4 1.1 25
4 4 1.1 25
4 4 1.1 113
4 4 1.1 41
4 4 1.1 65
4 4 1.1 73
4 4 1.1 129
4 4 1.1 49
4 4 1.1 73
4 4 1.1 25
4 4 1.1 33
4 4 1.1 41
8 8 1.1 195
8 8 1.1 257
8 8 1.1 257
8 8 1.1 241
8 8 1.1 193
8 8 1.1 161
8 8 1.1 113
8 8 1.1 353
8 8 1.1 337
8 8 1.1 225
8 8 1.1 97
8 8 1.1 209
8 8 1.1 193
8 8 1.1 161
8 8 1.1 161
16 16 1.1 1059
16 16 1.1 819
16 16 1.1 997
16 16 1.1 1333
16 16 1.1 811
16 16 1.1 1331
16 16 1.1 875
16 16 1.1 935
16 16 1.1 1225
16 16 1.1 1211
16 16 1.1 969
16 16 1.1 777
16 16 1.1 1289
16 16 1.1 1413
16 16 1.1 947
32 32 1.1 4749
32 32 1.1 4699
32 32 1.1 5407
32 32 1.1 4569
32 32 1.1 5431
32 32 1.1 4947
32 32 1.1 4927
32 32 1.1 4149
32 32 1.1 5465
32 32 1.1 4155
32 32 1.1 4219
32 32 1.1 5083
32 32 1.1 4945
32 32 1.1 4523
32 32 1.1 6561
64 64 1.1 17699
64 64 1.1 19265
64 64 1.1 21111
64 64 1.1 18587
64 64 1.1 17661
64 64 1.1 21653
64 64 1.1 21383
64 64 1.1 19683
64 64 1.1 20803
64 64 1.1 20397
64 64 1.1 22245
64 64 1.1 23111
64 64 1.1 22587
64 64 1.1 22685
64 64 1.1 22551
128 128 1.1 99669
128 128 1.1 92941
128 128 1.1 91547
128 128 1.1 93239
128 128 1.1 92991
128 128 1.1 97193
128 128 1.1 94225
128 128 1.1 91869
128 128 1.1 90515
128 128 1.1 89199
128 128 1.1 89485
128 128 1.1 88943
128 128 1.1 89983
128 128 1.1 90939
128 128 1.1 93425
256 256 1.1 373531
